"Site","Altitude","Subfamily","Tribe","Genus","Taxonomy","1965","2007","SSD_1965","SSD_2007"
"PS","1885","Ennominae","Boarmiini","Bornealcis","Bornealcis expleta",0.0620250282788446,0.04071343472097,"FBSSD","FBSSD"
"PS","1885","Ennominae","Boarmiini","Catoria","Catoria proicyrta",0.0720849648353929,NA,"FBSSD",NA
"PS","1885","Ennominae","Boarmiini","Cleora","Cleora mjobergi",0.067156593921352,0.0734583787681608,"FBSSD","FBSSD"
"PS","1885","Ennominae","Boarmiini","Cleora","Cleora pendleburyi",-0.0178473165953014,NA,"NSSSD",NA
"PS","1885","Ennominae","Boarmiini","Dalima","Dalima patularia",0.00294613646861938,NA,"NSSSD",NA
"PS","1885","Ennominae","Boarmiini","Dasyboarmia","Dasyboarmia delineata",0.0821994198162196,NA,"FBSSD",NA
"PS","1885","Ennominae","Boarmiini","Dasyboarmia","Dasyboarmia isorropha",0.0631355481701256,NA,"FBSSD",NA
"PS","1885","Ennominae","Boarmiini","Ectropis","Ectropis longiscapia",NA,0.0882913337964323,NA,"FBSSD"
"PS","1885","Ennominae","Boarmiini","Ectropis","Ectropis pais",0.032811004318329,0.0366025789775468,"FBSSD","FBSSD"
"PS","1885","Ennominae","Boarmiini","Gasterocome","Gasterocome pannosaria",0.00159402638203315,-0.046328112804866,"NSSSD","MBSSD"
"PS","1885","Ennominae","Boarmiini","Lassaba","Lassaba vinacea",0.0495925084530388,0.00503990987008856,"FBSSD","NSSSD"
"PS","1885","Ennominae","Boarmiini","Myrioblephara","Myrioblephara bifida",-0.0479667971293088,NA,"MBSSD",NA
"PS","1885","Ennominae","Boarmiini","Myrioblephara","Myrioblephara simplaria",-0.0166110516642796,-0.0304883015367911,"NSSSD","MBSSD"
"PS","1885","Ennominae","Boarmiini","Necyopa","Necyopa ioge",0.00216023973709479,NA,"NSSSD",NA
"PS","1885","Ennominae","Boarmiini","Necyopa","Necyopa subtriangula",NA,-0.245996230305366,NA,"MBSSD"
"PS","1885","Ennominae","Boarmiini","Pogonopygia","Pogonopygia pavida",-0.0252230770106118,-0.0495929384348781,"MBSSD","MBSSD"
"PS","1885","Ennominae","Boarmiini","Prochasma","Prochasma dentilinea",NA,0.0339595563160688,NA,"FBSSD"
"PS","1885","Ennominae","Boarmiini","Racotis","Racotis boarmiaria",0.0269004006520409,NA,"FBSSD",NA
"PS","1885","Ennominae","Boarmiini","Xandrames","Xandrames latiferaria",0.0879075768732646,NA,"FBSSD",NA
"PS","1885","Ennominae","Caberini","Petelia","Petelia delostigma",-0.0473326546050186,NA,"MBSSD",NA
"PS","1885","Ennominae","Cassymini","Orthocabera","Orthocabera similaria",0.0361871815667663,0.0204365553612038,"FBSSD","FBSSD"
"PS","1885","Ennominae","Eutoeini","Luxiaria","Luxiaria emphatica",-0.0340293113364113,NA,"MBSSD",NA
"PS","1885","Ennominae","Eutoeini","Luxiaria","Luxiaria hyalodela",-0.0635163222644318,NA,"MBSSD",NA
"PS","1885","Ennominae","Eutoeini","Luxiaria","Luxiaria mitorrhaphes",-0.0652185657108268,NA,"MBSSD",NA
"PS","1885","Ennominae","Eutoeini","Luxiaria","Luxiaria tephrosaria",-0.0448789307488418,-0.113057164770075,"MBSSD","MBSSD"
"PS","1885","Ennominae","Hypochrosini","Garaeus","Garaeus apicata",0.141880381271575,NA,"FBSSD",NA
"PS","1885","Ennominae","Hypochrosini","Heterolocha","Heterolocha polymorphoides",0.0418604336052816,-0.00442958598083562,"FBSSD","NSSSD"
"PS","1885","Ennominae","Hypochrosini","Hypochrosis","Hypochrosis hyadaria",0.0908410108822603,0.074594459341819,"FBSSD","FBSSD"
"PS","1885","Ennominae","Hypochrosini","Omiza","Omiza herois",0.0776999374234506,0.114218578236319,"FBSSD","FBSSD"
"PS","1885","Ennominae","Macariini","Chiasmia","Chiasmia avitusaria",0.0213002504321235,NA,"FBSSD",NA
"PS","1885","Ennominae","Ourapterygini","Ourapteryx","Ourapteryx incaudata",NA,0.0590207722344602,NA,"FBSSD"
"PS","1885","Ennominae","Plutodini","Plutodes","Plutodes flavescens",0.00317003147310454,0.025770824645158,"NSSSD","FBSSD"
"PS","1885","Geometrinae","Geometrini","Comostola","Comostola subtiliaria",0.0813884942196142,NA,"FBSSD",NA
"PS","1885","Geometrinae","Geometrini","Dindica","Dindica alaopis",0.125818265574131,0.0826607142362588,"FBSSD","FBSSD"
"PS","1885","Geometrinae","Geometrini","Dooabia","Dooabia lunifera",0.00502983622308687,NA,"NSSSD",NA
"PS","1885","Geometrinae","Geometrini","Lophophelma","Lophophelma vigens",0.0964392198743073,0.102359877368936,"FBSSD","FBSSD"
"PS","1885","Geometrinae","Geometrini","Orothalassodes","Orothalassodes glabrosa",0.050779927794435,NA,"FBSSD",NA
"PS","1885","Geometrinae","Geometrini","Pelagodes","Pelagodes falsaria",0.0547503868224033,NA,"FBSSD",NA
"PS","1885","Geometrinae","Geometrini","Spaniocentra","Spaniocentra apatelloides",0.0363348782343393,NA,"FBSSD",NA
"PS","1885","Geometrinae","Geometrini","Tanaorhinus","Tanaorhinus rafflesii",0.119464664513476,NA,"FBSSD",NA
"PS","1885","Larentiinae","Cidariini","Ecliptoptera","Ecliptoptera furvoides",0.0864212323870785,NA,"FBSSD",NA
"PS","1885","Larentiinae","Eupitheciini","Chloroclystis","Chloroclystis obturgescens",-0.0566784534728661,-0.0234456185746808,"MBSSD","MBSSD"
"PS","1885","Larentiinae","Eupitheciini","Collix","Collix intrepida",0.00993779611278676,NA,"NSSSD",NA
"PS","1885","Larentiinae","Eupitheciini","Eupithecia","Eupithecia kamburonga",NA,-0.00659997853287335,NA,"NSSSD"
"PS","1885","Larentiinae","Eupitheciini","Pasiphila","Pasiphila palpata",0.0257248912384359,NA,"FBSSD",NA
"PS","1885","Larentiinae","Eupitheciini","Pasiphila","Pasiphila rubrifusa",0.0289532779787835,NA,"FBSSD",NA
"PS","1885","Larentiinae","Eupitheciini","Pomasia","Pomasia sacculobata",NA,0.010339810200829,NA,"NSSSD"
"PS","1885","Larentiinae","Eupitheciini","Pomasia","Pomasia salutaris",0.053443843531704,-0.0155655264299057,"FBSSD","NSSSD"
"PS","1885","Larentiinae","Eupitheciini","Pseudocollix","Pseudocollix hyperythra",0.0654906242823306,NA,"FBSSD",NA
"PS","1885","Larentiinae","Eupitheciini","Syncosmia","Syncosmia eurymesa",0.0676249324238407,NA,"FBSSD",NA
"PS","1885","Larentiinae","Eupitheciini","Tripteridia","Tripteridia subcomosa",NA,0.0208097837354091,NA,"FBSSD"
"PS","1885","Larentiinae","Trichopterygini","Brabira","Brabira emerita",0.0702816179022432,NA,"FBSSD",NA
"PS","1885","Larentiinae","Trichopterygini","Hypocometa","Hypocometa leptomita",0.02508434634489,NA,"FBSSD",NA
"PS","1885","Larentiinae","Trichopterygini","Tympanota","Tympanota arfakensis",NA,-0.0259874469329565,NA,"MBSSD"
"PS","1885","Sterrhinae","Cosymbiini","Cyclophora","Cyclophora carsoni",-0.0389492386318583,NA,"MBSSD",NA
"PS","1885","Sterrhinae","Cosymbiini","Cyclophora","Cyclophora flavissima",0.0119287917346953,NA,"NSSSD",NA
"PS","1885","Sterrhinae","Cosymbiini","Cyclophora","Cyclophora lowi",-0.0531109701211887,NA,"MBSSD",NA
