Lake,Sample,genus,size,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.9,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.8,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,rotifer,0.1,,
Green,ZP17,rotifer,0.2,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.9,,
Green,ZP17,cyclopoida,0.8,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,cyclopoida,0.4,,
Green,ZP17,cyclopoida,0.5,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.3,,
Green,ZP17,cyclopoida,0.6,,
Green,ZP17,ceriodaphnia,0.8,,
Green,ZP17,ceriodaphnia,0.4,,
Green,ZP17,ceriodaphnia,0.4,,
Green,ZP17,cyclopoida,0.7,,
Green,ZP17,ceriodaphnia,0.5,,
Green,ZP17,ceriodaphnia,0.5,,
Green,ZP17,ceriodaphnia,0.5,,
Green,ZP17,ceriodaphnia,0.4,,
Green,ZP17,ceriodaphnia,0.4,,
Green,ZP17,ceriodaphnia,0.4,,
Green,ZP17,ceriodaphnia,0.3,,
Green,ZP17,ceriodaphnia,0.5,,
Green,ZP17,ceriodaphnia,0.3,,
Green,ZP17,ceriodaphnia,0.4,,
Lillooet,ZP31,cyclopoida,1.8,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,1.5,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.4,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.4,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,1.1,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.4,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.4,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.9,,
Lillooet,ZP31,calanoid,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,1.7,,
Lillooet,ZP31,cyclopoida,1,,
Lillooet,ZP31,calanoid,3,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.5,,
Lillooet,ZP31,cyclopoida,0.4,,
Lillooet,ZP31,cyclopoida,1.2,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,1.1,,
Lillooet,ZP31,calanoid,1.2,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,calanoid,1,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.7,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,calanoid,0.5,,
Lillooet,ZP31,cyclopoida,0.6,,
Lillooet,ZP31,cyclopoida,0.6,,
